,2012,,,,,,,,,,2013,,,,,,,,,,,,2014,,,,,,,,,,,,2015,,,,,,,,,,,,2016,,,,,,,,,,,,2017,,,,,,,,,,,,2018,,,,,,,,,,,,2019,,,,,,,,,,,,2020,,,,,,,,,,,,2021,,,,,,,,,,,,2022,,,,,,,
,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug
Sum of median_sale_price,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,,,,,,,,2013,,,,,,,,,,,,2014,,,,,,,,,,,,2015,,,,,,,,,,,,2016,,,,,,,,,,,,2017,,,,,,,,,,,,2018,,,,,,,,,,,,2019,,,,,,,,,,,,2020,,,,,,,,,,,,2021,,,,,,,,,,,,2022,,,,,,,
Row Labels,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug
Acampo,390000,459800,390000,582450,545500,740000,891500,996250,460000,473000,300000,320500,570000,602000,624000,705000,750000,814000,709500,713500,794000,798000,798000,700000,760000,760000,760000,799950,720000,726000,638000,1050000,1023750,1045000,785000,760000,879800,634000,757500,814000,920000,1040000,1070000,1283000,1300000,1291500,838000,819000,800000,800000,790000,1090000,740000,860000,939000,939000,1005000,916000,944000,938000,1098000,1051000,1141500,850000,1109000,995000,1237000,1233500,1237000,1020000,1000000,1009500,1295000,1150000,1130000,1000000,1000000,1098000,1155000,1400000,1140000,1060000,1060000,1120000,1140000,1050000,1025000,1037000,1184000,1132000,1109000,1138000,1159000,1285000,1050000,1050000,1178000,1178000,1084000,840000,1199500,1245000,1245000,1260000,1460000,1385000,1295000,1954000,1877750,2022000,2192750,2383500,2275250,2912000,1444000,2811500,2706500,2711000,2437500,2444000,2505000,1500000,2670000,2567500,2088750,2374750
Acton,712500,695000,689350,705000,730000,770000,784000,687998,765000,743199,736398,698500,578000,725000,806000,790000,819000,819000,854500,800000,800000,778000,823000,745000,815000,824000,875000,920000,929900,930000,930000,895000,870000,930000,1049500,920000,990000,1030000,948000,944000,944000,1079800,1085000,1019000,949000,964000,1091000,1068000,980000,1050000,1098000,1110000,1150000,1200000,1190000,1043000,1100000,1004000,1095000,1004000,1030000,990000,1363500,1397500,1420000,1100000,1206000,1100000,1179000,1150000,1160000,1178000,1220000,1220000,1230000,1537500,1567500,1545000,1250000,1136000,1210000,1089000,1139000,1180000,1190000,1300000,1216000,1260000,1145000,1172000,1190000,1290000,1280000,1160000,1135000,1154000,1280000,1268000,1288000,1245000,1347000,1343500,1370000,1380000,1463000,1480000,1500000,1530000,1540000,1540000,1588000,1600000,1580000,1620000,1620000,1658000,1524000,1664000,1700000,1759500,1725000,1750000,1790000,1830000,1798000,1758000
Adelaide,948000,1143500,1146750,1150500,1117750,1163000,1163750,1153500,1020000,1311000,1228150,1241650,1108075,865000,1183000,1213750,1280000,1300000,1287550,1254500,1097500,1103500,1099750,1355000,1355500,1349000,1212000,1196000,944900,1330000,1423000,1392000,1578000,1551000,1551750,1313250,992500,1167500,1397000,1475000,1383000,1516250,1474250,1644000,1601500,1716000,1637250,1696000,1612000,1754250,1852500,1843000,1677977.5,1741477.5,1583425,1699250,1695350,1808500,1748000,1788250,1740500,1831250,1803750,1710500,1667500,1689500,1586000,2007000,1947000,2060000,1753000,1895500,1817750,1700750,1745000,2098750,2274000,2107500,1774500,1760000,1594000,2139500,1941000,1632250,1728500,1880000,2200250,2237500,2212500,1966500,2030750,2074000,1870000,2163000,2181000,2316000,1690000,2010500,2075000,1961000,1878000,1813250,2189250,1779500,2118000,2507250,2621250,2753750,2689000,3018250,3071750,2600000,2629750,2436250,2474000,2541500,2680250,2313000,2333250,2544500,3504000,3688500,3797400,2599400,2602500,2544000
Adelanto,,220000,250000,224250,218262.5,200887.5,214750,306500,321500,304000,304000,339000,349000,337000,338500,358750,367000,366500,358500,377000,380000,383500,408000,404950,379950,380000,383500,431500,386000,394000,392500,401000,425000,438250,437000,445000,388750,396500,402250,408250,466000,474500,453750,430000,424725,430000,507050,509750,515450,470500,473149.5,465050,523500,568750,568750,475000,464500,515000,530000,540750,607000,565000,573500,520000,570500,570500,556000,520000,526000,564500,625000,640500,654000,697500,697500,719000,656000,617000,691000,687000,697000,636000,637000,661500,735250,684500,745000,707000,645000,612000,614000,630500,633500,642500,649500,774000,775000,775000,490000,850000,843000,832500,747000,747500,675000,722000,762000,770000,877000,938000,947250,984500,995500,1012500,1034750,1044500,1070000,1070000,1065000,1350500,1365000,1080000,1072500,997500,1005000,1120000
Adin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126000,126000,126000,,890000,890000,510000,790000,790000,1450000,,,,,,376000,376000,287000,198000,274000,350000,480000,370000,370000,900000,1025000,1025000,1150000,,,1180000,1180000,1180000,135000,135000,135000,,370000,370000,370000,,
Agua dulce,1025500,1030500,1056000,1062500,1061750,1061500,1063500,1065500,1054750,1090000,1099500,1131500,1167750,1229500,1226000,1235000,1286000,1360000,1347500,1387250,1390000,1404500,1366000,1338350,1367700,1388500,1482750,1469500,1470000,1461000,1447250,1468500,1498500,1474500,1523500,1558750,1589000,1569000,1580000,1605000,1635000,1608000,1537000,1568750,1597894.5,1630000,1610750,1595250,1578900,1628750,1610000,1597000,2007490,2041345,2071724,2141730,2154800,1755000,1744500,1831070,1788990,1784000,1846835,1836757,1845000,1779000,1848000,1847000,1835500,1786000,1831000,1864500,1824500,1933000,1909750,1950500,1894000,1921000,1939000,1947999.5,1932499.5,1900500,1890000,1898000,1977085,1959170,1953500,1966500,1993000,2016250,1983000,1918750,1903750,1974000,1993250,1964500,1915750,1950000,2032000,2096500,2112364.5,2117500,2138000,2168650,2177500,2089500,2093000,2167000,2276000,2346250,2440000,2473500,2477500,2494500,2531000,2571500,2608000,2607500,2580500,3423750,3546500,3570000,2781500,2798500,2815000,2660000
